id_reference,category,brand,model,year,chosen_color,folder,main_image,secondary_image,source_main,source_secondary,license_main,license_secondary,author_main,author_secondary,status,search_query_main,search_query_secondary,notes
25,Citadines,Dacia,Sandero,2012,noir,025_dacia_sandero_2012_noir,,,,,,,,,a_rechercher,Dacia Sandero 2012 noir front Wikimedia Commons,Dacia Sandero 2012 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
26,Citadines,Seat,Ibiza,2006,gris metallise,026_seat_ibiza_2006_gris_metallise,,,,,,,,,a_rechercher,Seat Ibiza 2006 gris metallise front Wikimedia Commons,Seat Ibiza 2006 gris metallise rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
27,Citadines,Seat,Ibiza,2009,rouge,027_seat_ibiza_2009_rouge,,,,,,,,,a_rechercher,Seat Ibiza 2009 rouge front Wikimedia Commons,Seat Ibiza 2009 rouge rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
28,Citadines,Hyundai,i10,2009,blanc,028_hyundai_i10_2009_blanc,,,,,,,,,a_rechercher,Hyundai i10 2009 blanc front Wikimedia Commons,Hyundai i10 2009 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
29,Citadines,Hyundai,i20,2011,bleu,029_hyundai_i20_2011_bleu,,,,,,,,,a_rechercher,Hyundai i20 2011 bleu front Wikimedia Commons,Hyundai i20 2011 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
30,Citadines,Kia,Picanto,2007,noir,030_kia_picanto_2007_noir,,,,,,,,,a_rechercher,Kia Picanto 2007 noir front Wikimedia Commons,Kia Picanto 2007 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
31,Citadines,Kia,Picanto,2010,gris metallise,031_kia_picanto_2010_gris_metallise,,,,,,,,,a_rechercher,Kia Picanto 2010 gris metallise front Wikimedia Commons,Kia Picanto 2010 gris metallise rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
32,Citadines,Suzuki,Swift,2007,rouge,032_suzuki_swift_2007_rouge,,,,,,,,,a_rechercher,Suzuki Swift 2007 rouge front Wikimedia Commons,Suzuki Swift 2007 rouge rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
33,Citadines,Skoda,Fabia,2008,blanc,033_skoda_fabia_2008_blanc,,,,,,,,,a_rechercher,Skoda Fabia 2008 blanc front Wikimedia Commons,Skoda Fabia 2008 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
34,Compactes,Renault,Megane,2004,noir,034_renault_megane_2004_noir,,,,,,,,,a_rechercher,Renault Megane 2004 noir front Wikimedia Commons,Renault Megane 2004 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
35,Compactes,Renault,Megane,2007,blanc,035_renault_megane_2007_blanc,,,,,,,,,a_rechercher,Renault Megane 2007 blanc front Wikimedia Commons,Renault Megane 2007 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
36,Compactes,Renault,Megane,2010,bleu,036_renault_megane_2010_bleu,,,,,,,,,a_rechercher,Renault Megane 2010 bleu front Wikimedia Commons,Renault Megane 2010 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
37,Compactes,Peugeot,307,2004,gris metallise,037_peugeot_307_2004_gris_metallise,,,,,,,,,a_rechercher,Peugeot 307 2004 gris metallise front Wikimedia Commons,Peugeot 307 2004 gris metallise rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
38,Compactes,Peugeot,308,2009,noir,038_peugeot_308_2009_noir,,,,,,,,,a_rechercher,Peugeot 308 2009 noir front Wikimedia Commons,Peugeot 308 2009 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
39,Compactes,Volkswagen,Golf,2005,blanc,039_volkswagen_golf_2005_blanc,,,,,,,,,a_rechercher,Volkswagen Golf 2005 blanc front Wikimedia Commons,Volkswagen Golf 2005 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
40,Compactes,Volkswagen,Golf,2008,bleu,040_volkswagen_golf_2008_bleu,,,,,,,,,a_rechercher,Volkswagen Golf 2008 bleu front Wikimedia Commons,Volkswagen Golf 2008 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
41,Compactes,Ford,Focus,2005,gris metallise,041_ford_focus_2005_gris_metallise,,,,,,,,,a_rechercher,Ford Focus 2005 gris metallise front Wikimedia Commons,Ford Focus 2005 gris metallise rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
42,Compactes,Ford,Focus,2008,noir,042_ford_focus_2008_noir,,,,,,,,,a_rechercher,Ford Focus 2008 noir front Wikimedia Commons,Ford Focus 2008 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
43,Compactes,Opel,Astra,2005,blanc,043_opel_astra_2005_blanc,,,,,,,,,a_rechercher,Opel Astra 2005 blanc front Wikimedia Commons,Opel Astra 2005 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
44,Compactes,Opel,Astra,2008,bleu,044_opel_astra_2008_bleu,,,,,,,,,a_rechercher,Opel Astra 2008 bleu front Wikimedia Commons,Opel Astra 2008 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
45,Compactes,Toyota,Auris,2007,gris metallise,045_toyota_auris_2007_gris_metallise,,,,,,,,,a_rechercher,Toyota Auris 2007 gris metallise front Wikimedia Commons,Toyota Auris 2007 gris metallise rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
46,Compactes,Hyundai,i30,2008,noir,046_hyundai_i30_2008_noir,,,,,,,,,a_rechercher,Hyundai i30 2008 noir front Wikimedia Commons,Hyundai i30 2008 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
47,Compactes,Seat,Leon,2006,blanc,047_seat_leon_2006_blanc,,,,,,,,,a_rechercher,Seat Leon 2006 blanc front Wikimedia Commons,Seat Leon 2006 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
48,SUV compact,Dacia,Duster,2011,noir,048_dacia_duster_2011_noir,,,,,,,,,a_rechercher,Dacia Duster 2011 noir front Wikimedia Commons,Dacia Duster 2011 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
49,SUV compact,Dacia,Duster,2013,blanc,049_dacia_duster_2013_blanc,,,,,,,,,a_rechercher,Dacia Duster 2013 blanc front Wikimedia Commons,Dacia Duster 2013 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
50,SUV compact,Nissan,Juke,2011,gris metallise,050_nissan_juke_2011_gris_metallise,,,,,,,,,a_rechercher,Nissan Juke 2011 gris metallise front Wikimedia Commons,Nissan Juke 2011 gris metallise rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
51,SUV compact,Kia,Sportage,2008,noir,051_kia_sportage_2008_noir,,,,,,,,,a_rechercher,Kia Sportage 2008 noir front Wikimedia Commons,Kia Sportage 2008 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
52,SUV compact,Hyundai,Tucson,2007,blanc,052_hyundai_tucson_2007_blanc,,,,,,,,,a_rechercher,Hyundai Tucson 2007 blanc front Wikimedia Commons,Hyundai Tucson 2007 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
53,Break,Renault,Megane Estate,2005,noir,053_renault_megane_estate_2005_noir,,,,,,,,,a_rechercher,Renault Megane Estate 2005 noir front Wikimedia Commons,Renault Megane Estate 2005 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
54,Break,Peugeot,307 SW,2005,bleu,054_peugeot_307_sw_2005_bleu,,,,,,,,,a_rechercher,Peugeot 307 SW 2005 bleu front Wikimedia Commons,Peugeot 307 SW 2005 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
55,Break,Volkswagen,Golf Variant,2007,gris metallise,055_volkswagen_golf_variant_2007_gris_metallise,,,,,,,,,a_rechercher,Volkswagen Golf Variant 2007 gris metallise front Wikimedia Commons,Volkswagen Golf Variant 2007 gris metallise rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
56,Break,Ford,Focus Estate,2006,noir,056_ford_focus_estate_2006_noir,,,,,,,,,a_rechercher,Ford Focus Estate 2006 noir front Wikimedia Commons,Ford Focus Estate 2006 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
57,Break,Opel,Astra Sports Tourer,2008,bleu,057_opel_astra_sports_tourer_2008_bleu,,,,,,,,,a_rechercher,Opel Astra Sports Tourer 2008 bleu front Wikimedia Commons,Opel Astra Sports Tourer 2008 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
58,Motos 125cc,Honda,CB125F,2016,bleu,058_honda_cb125f_2016_bleu,,,,,,,,,a_rechercher,Honda CB125F 2016 bleu front Wikimedia Commons,Honda CB125F 2016 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
59,Motos 125cc,Honda,CB125R,2018,orange,059_honda_cb125r_2018_orange,,,,,,,,,a_rechercher,Honda CB125R 2018 orange front Wikimedia Commons,Honda CB125R 2018 orange rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
60,Motos 125cc,Honda,CBR 125R,2015,vert,060_honda_cbr_125r_2015_vert,,,,,,,,,a_rechercher,Honda CBR 125R 2015 vert front Wikimedia Commons,Honda CBR 125R 2015 vert rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
61,Motos 125cc,Yamaha,YBR 125,2012,noir,061_yamaha_ybr_125_2012_noir,,,,,,,,,a_rechercher,Yamaha YBR 125 2012 noir front Wikimedia Commons,Yamaha YBR 125 2012 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
62,Motos 125cc,Yamaha,YBR 125,2015,rouge,062_yamaha_ybr_125_2015_rouge,,,,,,,,,a_rechercher,Yamaha YBR 125 2015 rouge front Wikimedia Commons,Yamaha YBR 125 2015 rouge rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
63,Motos 125cc,Yamaha,MT-125,2017,bleu,063_yamaha_mt_125_2017_bleu,,,,,,,,,a_rechercher,Yamaha MT-125 2017 bleu front Wikimedia Commons,Yamaha MT-125 2017 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
64,Motos 125cc,Kawasaki,Z125 Pro,2017,orange,064_kawasaki_z125_pro_2017_orange,,,,,,,,,a_rechercher,Kawasaki Z125 Pro 2017 orange front Wikimedia Commons,Kawasaki Z125 Pro 2017 orange rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
65,Motos 125cc,KTM,Duke 125,2015,vert,065_ktm_duke_125_2015_vert,,,,,,,,,a_rechercher,KTM Duke 125 2015 vert front Wikimedia Commons,KTM Duke 125 2015 vert rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
66,Motos 125cc,Benelli,TNT 125,2018,noir,066_benelli_tnt_125_2018_noir,,,,,,,,,a_rechercher,Benelli TNT 125 2018 noir front Wikimedia Commons,Benelli TNT 125 2018 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
67,Motos 125cc,Royal Enfield,Bullet 350,2009,rouge,067_royal_enfield_bullet_350_2009_rouge,,,,,,,,,a_rechercher,Royal Enfield Bullet 350 2009 rouge front Wikimedia Commons,Royal Enfield Bullet 350 2009 rouge rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
68,Scooters,Yamaha,Aerox 50,2015,blanc,068_yamaha_aerox_50_2015_blanc,,,,,,,,,a_rechercher,Yamaha Aerox 50 2015 blanc front Wikimedia Commons,Yamaha Aerox 50 2015 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
69,Scooters,Yamaha,Aerox 50,2019,gris,069_yamaha_aerox_50_2019_gris,,,,,,,,,a_rechercher,Yamaha Aerox 50 2019 gris front Wikimedia Commons,Yamaha Aerox 50 2019 gris rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
70,Scooters,Yamaha,Xenter 125,2015,noir,070_yamaha_xenter_125_2015_noir,,,,,,,,,a_rechercher,Yamaha Xenter 125 2015 noir front Wikimedia Commons,Yamaha Xenter 125 2015 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
71,Scooters,Honda,SH 125,2013,blanc,071_honda_sh_125_2013_blanc,,,,,,,,,a_rechercher,Honda SH 125 2013 blanc front Wikimedia Commons,Honda SH 125 2013 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
72,Scooters,Honda,PCX 125,2016,gris,072_honda_pcx_125_2016_gris,,,,,,,,,a_rechercher,Honda PCX 125 2016 gris front Wikimedia Commons,Honda PCX 125 2016 gris rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
73,Scooters,Piaggio,Fly 125,2015,noir,073_piaggio_fly_125_2015_noir,,,,,,,,,a_rechercher,Piaggio Fly 125 2015 noir front Wikimedia Commons,Piaggio Fly 125 2015 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
74,Scooters,Peugeot,Vivacity 50,2014,blanc,074_peugeot_vivacity_50_2014_blanc,,,,,,,,,a_rechercher,Peugeot Vivacity 50 2014 blanc front Wikimedia Commons,Peugeot Vivacity 50 2014 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
75,Scooters,Peugeot,Kisbee 50,2017,gris,075_peugeot_kisbee_50_2017_gris,,,,,,,,,a_rechercher,Peugeot Kisbee 50 2017 gris front Wikimedia Commons,Peugeot Kisbee 50 2017 gris rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
76,Scooters,Kymco,Agility 50,2016,noir,076_kymco_agility_50_2016_noir,,,,,,,,,a_rechercher,Kymco Agility 50 2016 noir front Wikimedia Commons,Kymco Agility 50 2016 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
77,Velos,Giant,Escape 3,2018,noir,077_giant_escape_3_2018_noir,,,,,,,,,a_rechercher,Giant Escape 3 2018 noir front Wikimedia Commons,Giant Escape 3 2018 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
78,Velos,Giant,Escape 3,2020,bleu,078_giant_escape_3_2020_bleu,,,,,,,,,a_rechercher,Giant Escape 3 2020 bleu front Wikimedia Commons,Giant Escape 3 2020 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
79,Velos,Trek,FX 3,2019,rouge,079_trek_fx_3_2019_rouge,,,,,,,,,a_rechercher,Trek FX 3 2019 rouge front Wikimedia Commons,Trek FX 3 2019 rouge rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
80,Velos,Trek,Marlin 5,2020,gris,080_trek_marlin_5_2020_gris,,,,,,,,,a_rechercher,Trek Marlin 5 2020 gris front Wikimedia Commons,Trek Marlin 5 2020 gris rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
81,Velos,Cannondale,Quick 4,2019,noir,081_cannondale_quick_4_2019_noir,,,,,,,,,a_rechercher,Cannondale Quick 4 2019 noir front Wikimedia Commons,Cannondale Quick 4 2019 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
82,Velos,Decathlon,Rockrider 340,2018,bleu,082_decathlon_rockrider_340_2018_bleu,,,,,,,,,a_rechercher,Decathlon Rockrider 340 2018 bleu front Wikimedia Commons,Decathlon Rockrider 340 2018 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
83,Velos,Decathlon,Rockrider 520,2020,rouge,083_decathlon_rockrider_520_2020_rouge,,,,,,,,,a_rechercher,Decathlon Rockrider 520 2020 rouge front Wikimedia Commons,Decathlon Rockrider 520 2020 rouge rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
84,Velos,Scott,Aspect 50,2019,gris,084_scott_aspect_50_2019_gris,,,,,,,,,a_rechercher,Scott Aspect 50 2019 gris front Wikimedia Commons,Scott Aspect 50 2019 gris rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
85,Velos,Btwin,Riverside 500,2020,noir,085_btwin_riverside_500_2020_noir,,,,,,,,,a_rechercher,Btwin Riverside 500 2020 noir front Wikimedia Commons,Btwin Riverside 500 2020 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
86,Velos,Cube,Nature Pro,2019,bleu,086_cube_nature_pro_2019_bleu,,,,,,,,,a_rechercher,Cube Nature Pro 2019 bleu front Wikimedia Commons,Cube Nature Pro 2019 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
87,Velos,Orbea,Vector 30,2020,rouge,087_orbea_vector_30_2020_rouge,,,,,,,,,a_rechercher,Orbea Vector 30 2020 rouge front Wikimedia Commons,Orbea Vector 30 2020 rouge rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
88,Trottinettes,Xiaomi,Mi Electric Scooter 3,2021,gris anthracite,088_xiaomi_mi_electric_scooter_3_2021_gris_anthracite,,,,,,,,,a_rechercher,Xiaomi Mi Electric Scooter 3 2021 gris anthracite front Wikimedia Commons,Xiaomi Mi Electric Scooter 3 2021 gris anthracite rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
89,Trottinettes,Xiaomi,Mi Pro 2,2020,noir,089_xiaomi_mi_pro_2_2020_noir,,,,,,,,,a_rechercher,Xiaomi Mi Pro 2 2020 noir front Wikimedia Commons,Xiaomi Mi Pro 2 2020 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
90,Trottinettes,Xiaomi,Mi Scooter Essential,2020,gris anthracite,090_xiaomi_mi_scooter_essential_2020_gris_anthracite,,,,,,,,,a_rechercher,Xiaomi Mi Scooter Essential 2020 gris anthracite front Wikimedia Commons,Xiaomi Mi Scooter Essential 2020 gris anthracite rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
91,Trottinettes,Segway Ninebot,Max G30,2021,noir,091_segway_ninebot_max_g30_2021_noir,,,,,,,,,a_rechercher,Segway Ninebot Max G30 2021 noir front Wikimedia Commons,Segway Ninebot Max G30 2021 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
92,Trottinettes,Segway Ninebot,ES2,2019,gris anthracite,092_segway_ninebot_es2_2019_gris_anthracite,,,,,,,,,a_rechercher,Segway Ninebot ES2 2019 gris anthracite front Wikimedia Commons,Segway Ninebot ES2 2019 gris anthracite rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
93,Trottinettes,Kaabo,Mantis 10,2021,noir,093_kaabo_mantis_10_2021_noir,,,,,,,,,a_rechercher,Kaabo Mantis 10 2021 noir front Wikimedia Commons,Kaabo Mantis 10 2021 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
